"product_id","product_name","product_url","sku","variant_id","option_1_name","option_1_value","option_2_name","option_2_value","option_3_name","option_3_value","couleur","grandeur","selling_price","label_price","currency","is_out_of_stock","image_urls"
"81276000000991331","Attache 90° pour main courante","https://boutique.materiauxsml.com/products/a0424a3aff/81276000000991331","ATT-90-MAIN-COU-STN","81276000000215669","Fini de la quincaillerie","Acier inoxydable",,,,,"Acier inoxydable",,"32,83","0","CAD","False","https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-2025.png/81276000000448913 | https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-deux-couleur-2025.png/81276000000405685 | https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-dessin-technique-2025.png/81276000000448911"
"81276000000991331","Attache 90° pour main courante","https://boutique.materiauxsml.com/products/a0424a3aff/81276000000991331","ATT-90-MAIN-COU-STN-NR","81276000000215678","Fini de la quincaillerie","Noir mat",,,,,"Noir mat",,"44,3","0","CAD","False","https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-noir-2025.png/81276000000991055 | https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-2025.png/81276000000448957 | https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-deux-couleur-2025.png/81276000000448961 | https://boutique.materiauxsml.com/product-images/attache-90deg-inox-connector-main-courante-rampe-verre-dessin-technique-2025.png/81276000000448959"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-8x8-BRUN-ALU-ANTH","81276000000912099","Dimensions","8' x 8'","Couleur extérieure","Brun","Couleur aluminium","Gris anthracite","Gris anthracite","8' x 8'","6421,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-brun-vue-avant-2025.jpg/81276000000954165 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-avant-2025.jpg/81276000000954123 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-2025.jpg/81276000000954107 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-cote-droit-2025.jpg/81276000000954091 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-arriere-droit-2025.jpg/81276000000954075 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-arriere-2025.jpg/81276000000954059 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-finition-composite-2025.jpg/81276000000954043 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-jonction-panneaux-2025.jpg/81276000000954027 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-contextuelle-2025.jpg/81276000000954139 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-plan-dimensions-2025.png/81276000000954011 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-8x8-BRUN-ALU-BL","81276000000912114","Dimensions","8' x 8'","Couleur extérieure","Brun","Couleur aluminium","Blanc","Blanc","8' x 8'","6421,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-brun-vue-avant-2025.jpg/81276000000954165 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-avant-2025.jpg/81276000000954123 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-2025.jpg/81276000000954107 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-cote-droit-2025.jpg/81276000000954091 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-arriere-droit-2025.jpg/81276000000954075 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-arriere-2025.jpg/81276000000954059 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-finition-composite-2025.jpg/81276000000954043 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-jonction-panneaux-2025.jpg/81276000000954027 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-contextuelle-2025.jpg/81276000000954139 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-plan-dimensions-2025.png/81276000000954011 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-8x8-GPH-ALU-ANTH","81276000000912129","Dimensions","8' x 8'","Couleur extérieure","Graphite","Couleur aluminium","Gris anthracite","Gris anthracite","8' x 8'","6421,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-avant-2025.jpg/81276000000954123 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-2025.jpg/81276000000954107 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-cote-droit-2025.jpg/81276000000954091 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-arriere-droit-2025.jpg/81276000000954075 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-arriere-2025.jpg/81276000000954059 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-finition-composite-2025.jpg/81276000000954043 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-jonction-panneaux-2025.jpg/81276000000954027 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-contextuelle-2025.jpg/81276000000954139 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-plan-dimensions-2025.png/81276000000954011 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-8x8-GPH-ALU-BL","81276000000912144","Dimensions","8' x 8'","Couleur extérieure","Graphite","Couleur aluminium","Blanc","Blanc","8' x 8'","6421,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-avant-2025.jpg/81276000000954123 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-2025.jpg/81276000000954107 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-cote-droit-2025.jpg/81276000000954091 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-arriere-droit-2025.jpg/81276000000954075 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-arriere-2025.jpg/81276000000954059 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-finition-composite-2025.jpg/81276000000954043 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-jonction-panneaux-2025.jpg/81276000000954027 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-contextuelle-2025.jpg/81276000000954139 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-plan-dimensions-2025.png/81276000000954011 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-8x8-GRISP-ALU-ANTH","81276000000912159","Dimensions","8' x 8'","Couleur extérieure","Gris pâle","Couleur aluminium","Gris anthracite","Gris anthracite","8' x 8'","6421,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-gris-pale-alu-blanc-vue-avant-2025.jpg/81276000000954181 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-avant-2025.jpg/81276000000954123 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-2025.jpg/81276000000954107 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-cote-droit-2025.jpg/81276000000954091 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-arriere-droit-2025.jpg/81276000000954075 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-arriere-2025.jpg/81276000000954059 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-finition-composite-2025.jpg/81276000000954043 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-jonction-panneaux-2025.jpg/81276000000954027 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-contextuelle-2025.jpg/81276000000954139 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-plan-dimensions-2025.png/81276000000954011 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-8x8-GRISP-ALU-BL","81276000000912174","Dimensions","8' x 8'","Couleur extérieure","Gris pâle","Couleur aluminium","Blanc","Blanc","8' x 8'","6421,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-gris-pale-alu-blanc-vue-avant-2025.jpg/81276000000954181 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-avant-2025.jpg/81276000000954123 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-2025.jpg/81276000000954107 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-cote-droit-2025.jpg/81276000000954091 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-arriere-droit-2025.jpg/81276000000954075 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-arriere-2025.jpg/81276000000954059 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-finition-composite-2025.jpg/81276000000954043 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-detail-jonction-panneaux-2025.jpg/81276000000954027 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-graphite-vue-angle-avant-droit-contextuelle-2025.jpg/81276000000954139 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2822-8x8-plan-dimensions-2025.png/81276000000954011 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-12x11-BRUN-ALU-ANTH","81276000000921105","Dimensions","12' x 11'","Couleur extérieure","Brun","Couleur aluminium","Gris anthracite","Gris anthracite","12' x 11'","7950,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-avant-2025.jpg/81276000000936823 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-cote-droit-2025.jpg/81276000000936825 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-arriere-2025.jpg/81276000000936821 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-cote-gauche-2025.jpg/81276000000936827 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-detail-gouttiere-2025.jpg/81276000000936807 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-gris-pale-alu-blanc-vue-angle-avant-gauche-cont....jpg/81276000000929355 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-horizon-d2833-12x11-plan-dimensions-2025.png/81276000000936481 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
"81276000000921117","Cabanon composite SML Urban","https://boutique.materiauxsml.com/products/a0b9722954/81276000000921117","CAB-URBAN-12x11-BRUN-ALU-BL","81276000000921107","Dimensions","12' x 11'","Couleur extérieure","Brun","Couleur aluminium","Blanc","Blanc","12' x 11'","7950,8","0","CAD","False","https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-avant-2025.jpg/81276000000936823 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-cote-droit-2025.jpg/81276000000936825 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-arriere-2025.jpg/81276000000936821 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-vue-cote-gauche-2025.jpg/81276000000936827 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-brun-detail-gouttiere-2025.jpg/81276000000936807 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-urban-d2833-12x11-gris-pale-alu-blanc-vue-angle-avant-gauche-cont....jpg/81276000000929355 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-horizon-d2833-12x11-plan-dimensions-2025.png/81276000000936481 | https://boutique.materiauxsml.com/product-images/cabanon-composite-wpc-choix-couleur-3.png/81276000000929279"
